Column,Unit,Description
m_ap_decam_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of The Dark Energy Camera (DECam) on Blanco."
merr_ap_decam_g,mag,Mean error on m_ap_decam_g
flag_decam_g,mag,Flag set to true for sources for which niether the decam_g aperture nor total flux should not be used for SED fitting (see documentation).
f_decam_i,uJy,Total flux density in the I band of The Dark Energy Camera (DECam) on Blanco.
ferr_decam_i,uJy,Uncertainty on f_decam_i.
f_ap_decam_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Dark Energy Camera (DECam) on Blanco."
ferr_ap_decam_i,uJy,Uncertainty on f_ap_decam_i.
m_decam_i,mag,Total AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco.
merr_decam_i,mag,Mean error on m_decam_i.
m_ap_decam_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Dark Energy Camera (DECam) on Blanco."
merr_ap_decam_i,mag,Mean error on m_ap_decam_i
flag_decam_i,mag,Flag set to true for sources for which niether the decam_i aperture nor total flux should not be used for SED fitting (see documentation).
f_decam_r,uJy,Total flux density in the R band of The Dark Energy Camera (DECam) on Blanco.
ferr_decam_r,uJy,Uncertainty on f_decam_r.
f_ap_decam_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of The Dark Energy Camera (DECam) on Blanco."
ferr_ap_decam_r,uJy,Uncertainty on f_ap_decam_r.
m_decam_r,mag,Total AB magnitude in the R band of The Dark Energy Camera (DECam) on Blanco.
merr_decam_r,mag,Mean error on m_decam_r.
m_ap_decam_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of The Dark Energy Camera (DECam) on Blanco."
merr_ap_decam_r,mag,Mean error on m_ap_decam_r
flag_decam_r,mag,Flag set to true for sources for which niether the decam_r aperture nor total flux should not be used for SED fitting (see documentation).
f_decam_y,uJy,Total flux density in the I band of The Dark Energy Camera (DECam) on Blanco.
ferr_decam_y,uJy,Uncertainty on f_decam_y.
