Column,Unit,Description
ferr_ap_suprime_g,uJy,Uncertainty on f_ap_suprime_g.
m_suprime_g,mag,Total AB magnitude in the B band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_g,mag,Mean error on m_suprime_g.
m_ap_suprime_g,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_g,mag,Mean error on m_ap_suprime_g
flag_suprime_g,mag,Flag set to true for sources for which niether the suprime_g aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_i,uJy,Total flux density in the I band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_i,uJy,Uncertainty on f_suprime_i.
f_ap_suprime_i,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_i,uJy,Uncertainty on f_ap_suprime_i.
m_suprime_i,mag,Total AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_i,mag,Mean error on m_suprime_i.
m_ap_suprime_i,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_i,mag,Mean error on m_ap_suprime_i
flag_suprime_i,mag,Flag set to true for sources for which niether the suprime_i aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia484,uJy,Total flux density in the B band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia484,uJy,Uncertainty on f_suprime_ia484.
f_ap_suprime_ia484,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia484,uJy,Uncertainty on f_ap_suprime_ia484.
m_suprime_ia484,mag,Total AB magnitude in the B band of SuprimeCam on The Subaru telescope.
merr_suprime_ia484,mag,Mean error on m_suprime_ia484.
m_ap_suprime_ia484,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia484,mag,Mean error on m_ap_suprime_ia484
flag_suprime_ia484,mag,Flag set to true for sources for which niether the suprime_ia484 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia527,uJy,Total flux density in the V band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia527,uJy,Uncertainty on f_suprime_ia527.
f_ap_suprime_ia527,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia527,uJy,Uncertainty on f_ap_suprime_ia527.
m_suprime_ia527,mag,Total AB magnitude in the V band of SuprimeCam on The Subaru telescope.
merr_suprime_ia527,mag,Mean error on m_suprime_ia527.
m_ap_suprime_ia527,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia527,mag,Mean error on m_ap_suprime_ia527
flag_suprime_ia527,mag,Flag set to true for sources for which niether the suprime_ia527 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia624,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia624,uJy,Uncertainty on f_suprime_ia624.
f_ap_suprime_ia624,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia624,uJy,Uncertainty on f_ap_suprime_ia624.
m_suprime_ia624,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_ia624,mag,Mean error on m_suprime_ia624.
m_ap_suprime_ia624,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia624,mag,Mean error on m_ap_suprime_ia624
flag_suprime_ia624,mag,Flag set to true for sources for which niether the suprime_ia624 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia679,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia679,uJy,Uncertainty on f_suprime_ia679.
f_ap_suprime_ia679,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia679,uJy,Uncertainty on f_ap_suprime_ia679.
m_suprime_ia679,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_ia679,mag,Mean error on m_suprime_ia679.
m_ap_suprime_ia679,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia679,mag,Mean error on m_ap_suprime_ia679
flag_suprime_ia679,mag,Flag set to true for sources for which niether the suprime_ia679 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia738,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia738,uJy,Uncertainty on f_suprime_ia738.
f_ap_suprime_ia738,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia738,uJy,Uncertainty on f_ap_suprime_ia738.
m_suprime_ia738,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_ia738,mag,Mean error on m_suprime_ia738.
m_ap_suprime_ia738,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia738,mag,Mean error on m_ap_suprime_ia738
flag_suprime_ia738,mag,Flag set to true for sources for which niether the suprime_ia738 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ia767,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_ia767,uJy,Uncertainty on f_suprime_ia767.
f_ap_suprime_ia767,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ia767,uJy,Uncertainty on f_ap_suprime_ia767.
m_suprime_ia767,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_ia767,mag,Mean error on m_suprime_ia767.
m_ap_suprime_ia767,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ia767,mag,Mean error on m_ap_suprime_ia767
flag_suprime_ia767,mag,Flag set to true for sources for which niether the suprime_ia767 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib427,uJy,Total flux density in the B band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib427,uJy,Uncertainty on f_suprime_ib427.
f_ap_suprime_ib427,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib427,uJy,Uncertainty on f_ap_suprime_ib427.
m_suprime_ib427,mag,Total AB magnitude in the B band of SuprimeCam on The Subaru telescope.
merr_suprime_ib427,mag,Mean error on m_suprime_ib427.
m_ap_suprime_ib427,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib427,mag,Mean error on m_ap_suprime_ib427
flag_suprime_ib427,mag,Flag set to true for sources for which niether the suprime_ib427 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib464,uJy,Total flux density in the B band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib464,uJy,Uncertainty on f_suprime_ib464.
f_ap_suprime_ib464,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the B band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib464,uJy,Uncertainty on f_ap_suprime_ib464.
m_suprime_ib464,mag,Total AB magnitude in the B band of SuprimeCam on The Subaru telescope.
merr_suprime_ib464,mag,Mean error on m_suprime_ib464.
m_ap_suprime_ib464,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the B band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib464,mag,Mean error on m_ap_suprime_ib464
flag_suprime_ib464,mag,Flag set to true for sources for which niether the suprime_ib464 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib505,uJy,Total flux density in the V band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib505,uJy,Uncertainty on f_suprime_ib505.
f_ap_suprime_ib505,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib505,uJy,Uncertainty on f_ap_suprime_ib505.
m_suprime_ib505,mag,Total AB magnitude in the V band of SuprimeCam on The Subaru telescope.
merr_suprime_ib505,mag,Mean error on m_suprime_ib505.
m_ap_suprime_ib505,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib505,mag,Mean error on m_ap_suprime_ib505
flag_suprime_ib505,mag,Flag set to true for sources for which niether the suprime_ib505 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib574,uJy,Total flux density in the V band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib574,uJy,Uncertainty on f_suprime_ib574.
f_ap_suprime_ib574,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib574,uJy,Uncertainty on f_ap_suprime_ib574.
m_suprime_ib574,mag,Total AB magnitude in the V band of SuprimeCam on The Subaru telescope.
merr_suprime_ib574,mag,Mean error on m_suprime_ib574.
m_ap_suprime_ib574,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib574,mag,Mean error on m_ap_suprime_ib574
flag_suprime_ib574,mag,Flag set to true for sources for which niether the suprime_ib574 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib709,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib709,uJy,Uncertainty on f_suprime_ib709.
f_ap_suprime_ib709,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib709,uJy,Uncertainty on f_ap_suprime_ib709.
m_suprime_ib709,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_ib709,mag,Mean error on m_suprime_ib709.
m_ap_suprime_ib709,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib709,mag,Mean error on m_ap_suprime_ib709
flag_suprime_ib709,mag,Flag set to true for sources for which niether the suprime_ib709 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ib827,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_ib827,uJy,Uncertainty on f_suprime_ib827.
f_ap_suprime_ib827,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ib827,uJy,Uncertainty on f_ap_suprime_ib827.
m_suprime_ib827,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_ib827,mag,Mean error on m_suprime_ib827.
m_ap_suprime_ib827,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ib827,mag,Mean error on m_ap_suprime_ib827
flag_suprime_ib827,mag,Flag set to true for sources for which niether the suprime_ib827 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_ip,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_ip,uJy,Uncertainty on f_suprime_ip.
f_ap_suprime_ip,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_ip,uJy,Uncertainty on f_ap_suprime_ip.
m_suprime_ip,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_ip,mag,Mean error on m_suprime_ip.
m_ap_suprime_ip,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_ip,mag,Mean error on m_ap_suprime_ip
flag_suprime_ip,mag,Flag set to true for sources for which niether the suprime_ip aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_n816,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_n816,uJy,Uncertainty on f_suprime_n816.
f_ap_suprime_n816,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_n816,uJy,Uncertainty on f_ap_suprime_n816.
m_suprime_n816,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_n816,mag,Mean error on m_suprime_n816.
m_ap_suprime_n816,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_n816,mag,Mean error on m_ap_suprime_n816
flag_suprime_n816,mag,Flag set to true for sources for which niether the suprime_n816 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_n921,uJy,Total flux density in the I band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_n921,uJy,Uncertainty on f_suprime_n921.
f_ap_suprime_n921,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_n921,uJy,Uncertainty on f_ap_suprime_n921.
m_suprime_n921,mag,Total AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_n921,mag,Mean error on m_suprime_n921.
m_ap_suprime_n921,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_n921,mag,Mean error on m_ap_suprime_n921
flag_suprime_n921,mag,Flag set to true for sources for which niether the suprime_n921 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_nb711,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_nb711,uJy,Uncertainty on f_suprime_nb711.
f_ap_suprime_nb711,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_nb711,uJy,Uncertainty on f_ap_suprime_nb711.
m_suprime_nb711,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_nb711,mag,Mean error on m_suprime_nb711.
m_ap_suprime_nb711,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_nb711,mag,Mean error on m_ap_suprime_nb711
flag_suprime_nb711,mag,Flag set to true for sources for which niether the suprime_nb711 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_nb816,uJy,Total flux density in the I band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_nb816,uJy,Uncertainty on f_suprime_nb816.
f_ap_suprime_nb816,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_nb816,uJy,Uncertainty on f_ap_suprime_nb816.
m_suprime_nb816,mag,Total AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_nb816,mag,Mean error on m_suprime_nb816.
m_ap_suprime_nb816,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_nb816,mag,Mean error on m_ap_suprime_nb816
flag_suprime_nb816,mag,Flag set to true for sources for which niether the suprime_nb816 aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_r,uJy,Total flux density in the R band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_r,uJy,Uncertainty on f_suprime_r.
f_ap_suprime_r,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_r,uJy,Uncertainty on f_ap_suprime_r.
m_suprime_r,mag,Total AB magnitude in the R band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_r,mag,Mean error on m_suprime_r.
m_ap_suprime_r,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_r,mag,Mean error on m_ap_suprime_r
flag_suprime_r,mag,Flag set to true for sources for which niether the suprime_r aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_rc,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_rc,uJy,Uncertainty on f_suprime_rc.
f_ap_suprime_rc,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_rc,uJy,Uncertainty on f_ap_suprime_rc.
m_suprime_rc,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_rc,mag,Mean error on m_suprime_rc.
m_ap_suprime_rc,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_rc,mag,Mean error on m_ap_suprime_rc
flag_suprime_rc,mag,Flag set to true for sources for which niether the suprime_rc aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_rp,uJy,Total flux density in the R band of SuprimeCam on The Subaru telescope.
ferr_suprime_rp,uJy,Uncertainty on f_suprime_rp.
f_ap_suprime_rp,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the R band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_rp,uJy,Uncertainty on f_ap_suprime_rp.
m_suprime_rp,mag,Total AB magnitude in the R band of SuprimeCam on The Subaru telescope.
merr_suprime_rp,mag,Mean error on m_suprime_rp.
m_ap_suprime_rp,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the R band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_rp,mag,Mean error on m_ap_suprime_rp
flag_suprime_rp,mag,Flag set to true for sources for which niether the suprime_rp aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_v,uJy,Total flux density in the V band of SuprimeCam on The Subaru telescope.
ferr_suprime_v,uJy,Uncertainty on f_suprime_v.
f_ap_suprime_v,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the V band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_v,uJy,Uncertainty on f_ap_suprime_v.
m_suprime_v,mag,Total AB magnitude in the V band of SuprimeCam on The Subaru telescope.
merr_suprime_v,mag,Mean error on m_suprime_v.
m_ap_suprime_v,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the V band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_v,mag,Mean error on m_ap_suprime_v
flag_suprime_v,mag,Flag set to true for sources for which niether the suprime_v aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_y,uJy,Total flux density in the I band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_y,uJy,Uncertainty on f_suprime_y.
f_ap_suprime_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_y,uJy,Uncertainty on f_ap_suprime_y.
m_suprime_y,mag,Total AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_y,mag,Mean error on m_suprime_y.
m_ap_suprime_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_y,mag,Mean error on m_ap_suprime_y
flag_suprime_y,mag,Flag set to true for sources for which niether the suprime_y aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_z,uJy,Total flux density in the I band of HyperSuprimeCam on The Subaru telescope.
ferr_suprime_z,uJy,Uncertainty on f_suprime_z.
f_ap_suprime_z,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of HyperSuprimeCam on The Subaru telescope."
ferr_ap_suprime_z,uJy,Uncertainty on f_ap_suprime_z.
m_suprime_z,mag,Total AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope.
merr_suprime_z,mag,Mean error on m_suprime_z.
m_ap_suprime_z,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of HyperSuprimeCam on The Subaru telescope."
merr_ap_suprime_z,mag,Mean error on m_ap_suprime_z
flag_suprime_z,mag,Flag set to true for sources for which niether the suprime_z aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_zp,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_zp,uJy,Uncertainty on f_suprime_zp.
f_ap_suprime_zp,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_zp,uJy,Uncertainty on f_ap_suprime_zp.
m_suprime_zp,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_zp,mag,Mean error on m_suprime_zp.
m_ap_suprime_zp,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_zp,mag,Mean error on m_ap_suprime_zp
flag_suprime_zp,mag,Flag set to true for sources for which niether the suprime_zp aperture nor total flux should not be used for SED fitting (see documentation).
f_suprime_zpp,uJy,Total flux density in the I band of SuprimeCam on The Subaru telescope.
ferr_suprime_zpp,uJy,Uncertainty on f_suprime_zpp.
f_ap_suprime_zpp,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of SuprimeCam on The Subaru telescope."
ferr_ap_suprime_zpp,uJy,Uncertainty on f_ap_suprime_zpp.
m_suprime_zpp,mag,Total AB magnitude in the I band of SuprimeCam on The Subaru telescope.
merr_suprime_zpp,mag,Mean error on m_suprime_zpp.
m_ap_suprime_zpp,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of SuprimeCam on The Subaru telescope."
merr_ap_suprime_zpp,mag,Mean error on m_ap_suprime_zpp
flag_suprime_zpp,mag,Flag set to true for sources for which niether the suprime_zpp aperture nor total flux should not be used for SED fitting (see documentation).
f_tifkam_ks,uJy,Total flux density in the K band of The Instrument Formerly Known as Mosaic (TIFKAM) on The Michigan Dartmouth MIT (MDM) Observatory.
ferr_tifkam_ks,uJy,Uncertainty on f_tifkam_ks.
f_ap_tifkam_ks,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Instrument Formerly Known as Mosaic (TIFKAM) on The Michigan Dartmouth MIT (MDM) Observatory."
ferr_ap_tifkam_ks,uJy,Uncertainty on f_ap_tifkam_ks.
m_tifkam_ks,mag,Total AB magnitude in the K band of The Instrument Formerly Known as Mosaic (TIFKAM) on The Michigan Dartmouth MIT (MDM) Observatory.
merr_tifkam_ks,mag,Mean error on m_tifkam_ks.
m_ap_tifkam_ks,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Instrument Formerly Known as Mosaic (TIFKAM) on The Michigan Dartmouth MIT (MDM) Observatory."
merr_ap_tifkam_ks,mag,Mean error on m_ap_tifkam_ks
flag_tifkam_ks,mag,Flag set to true for sources for which niether the tifkam_ks aperture nor total flux should not be used for SED fitting (see documentation).
f_ukidss_h,uJy,Total flux density in the H band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
ferr_ukidss_h,uJy,Uncertainty on f_ukidss_h.
f_ap_ukidss_h,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the H band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
ferr_ap_ukidss_h,uJy,Uncertainty on f_ap_ukidss_h.
m_ukidss_h,mag,Total AB magnitude in the H band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
merr_ukidss_h,mag,Mean error on m_ukidss_h.
m_ap_ukidss_h,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the H band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
merr_ap_ukidss_h,mag,Mean error on m_ap_ukidss_h
flag_ukidss_h,mag,Flag set to true for sources for which niether the ukidss_h aperture nor total flux should not be used for SED fitting (see documentation).
f_ukidss_j,uJy,Total flux density in the J band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
ferr_ukidss_j,uJy,Uncertainty on f_ukidss_j.
f_ap_ukidss_j,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the J band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
ferr_ap_ukidss_j,uJy,Uncertainty on f_ap_ukidss_j.
m_ukidss_j,mag,Total AB magnitude in the J band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
merr_ukidss_j,mag,Mean error on m_ukidss_j.
m_ap_ukidss_j,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the J band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
merr_ap_ukidss_j,mag,Mean error on m_ap_ukidss_j
flag_ukidss_j,mag,Flag set to true for sources for which niether the ukidss_j aperture nor total flux should not be used for SED fitting (see documentation).
f_ukidss_k,uJy,Total flux density in the K band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
ferr_ukidss_k,uJy,Uncertainty on f_ukidss_k.
f_ap_ukidss_k,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the K band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
ferr_ap_ukidss_k,uJy,Uncertainty on f_ap_ukidss_k.
m_ukidss_k,mag,Total AB magnitude in the K band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
merr_ukidss_k,mag,Mean error on m_ukidss_k.
m_ap_ukidss_k,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the K band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
merr_ap_ukidss_k,mag,Mean error on m_ap_ukidss_k
flag_ukidss_k,mag,Flag set to true for sources for which niether the ukidss_k aperture nor total flux should not be used for SED fitting (see documentation).
f_ukidss_y,uJy,Total flux density in the I band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
ferr_ukidss_y,uJy,Uncertainty on f_ukidss_y.
f_ap_ukidss_y,uJy,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) flux density in the I band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
ferr_ap_ukidss_y,uJy,Uncertainty on f_ap_ukidss_y.
m_ukidss_y,mag,Total AB magnitude in the I band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT).
merr_ukidss_y,mag,Mean error on m_ukidss_y.
m_ap_ukidss_y,mag,"Aperture (nearest aperture to 2 arcsec, aperture correction applied) AB magnitude in the I band of The Wide Field Camera (WFCAM) on The United Kingdom Infrared Telescope (UKIRT)."
merr_ap_ukidss_y,mag,Mean error on m_ap_ukidss_y
flag_ukidss_y,mag,Flag set to true for sources for which niether the ukidss_y aperture nor total flux should not be used for SED fitting (see documentation).
